requirement_id,category,requirement,priority,owning_phases,planned_source,planned_tests,planned_docs,evidence,status,notes
FEAT-030,feature,Dashboard summaries,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-031,feature,Offline app shell,mandatory,03|04|05|08|09|10|12,src/services/platform.ts public/sw.js public/manifest.webmanifest firebase persistentLocalCache,manual offline smoke + e2e,architecture/sharing-design.md#offline,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-032,feature,Offline read behavior,mandatory,03|04|05|08|09|10|12,src/services/platform.ts public/sw.js public/manifest.webmanifest firebase persistentLocalCache,manual offline smoke + e2e,architecture/sharing-design.md#offline,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-033,feature,Offline mutation queue,mandatory,03|04|05|08|09|10|12,src/services/platform.ts public/sw.js public/manifest.webmanifest firebase persistentLocalCache,manual offline smoke + e2e,architecture/sharing-design.md#offline,see reports/phases + audit/evidence-ledger.csv,PARTIAL,No offline mutation queue by design: Firestore cache serves reads; contribution writes surface pending/failed state with same-mutation-id retry (architecture/sharing-design.md §5)
FEAT-034,feature,Network state UX,mandatory,03|04|05|08|09|10|12,src/services/platform.ts public/sw.js public/manifest.webmanifest firebase persistentLocalCache,manual offline smoke + e2e,architecture/sharing-design.md#offline,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-035,feature,PWA installation,mandatory,03|04|05|08|09|10|12,src/services/platform.ts public/sw.js public/manifest.webmanifest firebase persistentLocalCache,manual offline smoke + e2e,architecture/sharing-design.md#offline,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-036,feature,Capacitor preferences,mandatory,03|04|05|08|09|10|12,src/services/platform.ts capacitor.config.ts,cap sync + device smoke,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-037,feature,Capacitor network integration,mandatory,03|04|05|08|09|10|12,src/services/platform.ts capacitor.config.ts,cap sync + device smoke,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-038,feature,Capacitor haptics,mandatory,03|04|05|08|09|10|12,src/services/platform.ts capacitor.config.ts,cap sync + device smoke,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-039,feature,Capacitor keyboard behavior,mandatory,03|04|05|08|09|10|12,src/services/platform.ts capacitor.config.ts,cap sync + device smoke,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-040,feature,Capacitor app lifecycle,mandatory,03|04|05|08|09|10|12,src/services/platform.ts capacitor.config.ts,cap sync + device smoke,operations/release-plan.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-041,feature,Shared bucket invitations,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-042,feature,Invitation acceptance,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-043,feature,Invitation expiration,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-044,feature,Invitation revocation,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-045,feature,Membership roles,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-046,feature,Ownership transfer,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,DECIDED,Ownership transfer out of v1; owner exits via deletion (product/feature-backlog.md)
FEAT-047,feature,Member removal,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-048,feature,Member leave flow,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-049,feature,Per-user contributions,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-050,feature,Contribution aggregation,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-051,feature,Simultaneous contribution updates,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-052,feature,Mutation idempotency,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-053,feature,Aggregate repair,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-054,feature,Activity timeline,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-055,feature,Collaboration notifications,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,In-app toasts + activity feed; push notifications in backlog
FEAT-056,feature,Conflict and retry UX,mandatory,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-057,feature,Shared order finalization,approved-if-selected,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-058,feature,Audit event history,approved-if-selected,03|04|05|08|09|10|12,"src/lib/sharing.ts src/services/localServices.ts src/services/firebaseServices.ts src/pages/{BucketShare,BucketCollaborate,JoinBucket}Page.tsx firestore.rules",tests/domain/sharing.test.ts tests/services/sharingLocal.test.ts,architecture/sharing-design.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-059,feature,Data export,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-060,feature,Account deletion,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-061,feature,Favorites and recent buckets,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,DECIDED,NOT_SELECTED: favorites/recents deferred to backlog
FEAT-062,feature,Saved ordering presets,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,DECIDED,NOT_SELECTED: saved ordering presets deferred to backlog
FEAT-063,feature,Accessibility and reduced motion,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-064,feature,English and Arabic RTL,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-065,feature,Error normalization,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-066,feature,Empty/loading/degraded states,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-067,feature,Support diagnostics,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-068,feature,Release update behavior,approved-if-selected,03|04|05|08|09|10|12,src/styles.css src/i18n/messages.ts src/components/**,lint jsx-a11y-style review + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,DECIDED,DOCUMENTED: manual APK update model; no in-app updater
